tweet_id,user_id,user_name,followers_count,friends_count,user_location,text,retweet_count
704818868242395136,449155227,Zack Brennan,12,37,Claremont,"@realDonaldTrump At places of integrity, if the food is bad they take it off the bill, give the dissatisfied  2% their $ back from Trump U.",0
704818868745678848,1581948024,TexasProud,1684,1512,None,RT @aviv1818: Alert Virginia! https://t.co/1fyR8ZM3dR,0
704818868926222336,3092203090,Airoh PK,708,309,None,No lie @marcorubio is my homie.,0
704818868716486656,87715126,Brendan Ponton,1173,1029,"Hampton Roads, VA",CNN already projected Hillary Clinton has won Virginia's primary https://t.co/viMyVrw9lP #WTKRPolitics,0
704818868963790848,276568754,Sharna Horn,218,70,"Los Angeles, CA",RT @cnnbrk: CNN projects: @HillaryClinton wins Georgia and Virginia. @BernieSanders wins Vermont. https://t.co/nAz9i6Qi1d,0
704818868846530560,119534385,LibertyForce,67652,8810,1JWtYspUm3KsKYeLNhs1U7BVvLY7Gb,RT @BugKlr: Blahahaha OMG that is funny...sorry https://t.co/tsne18AxQ4,0
704818869018324992,18465936,BERNIE❤️ZEALOT,9062,6902,"Yukon, Oklahoma",RT @whoisagentzero: Hey #BillClinton - let the ppl of #Massachusetts VOTE! #MoveBillGetOutTheWay! #SuperTuesday #SuperTuesday16 #mapoli #ma…,0
704818868917698560,16661097,Nolan Hicks,2711,737,BLYKN,Oooooooooo https://t.co/H0UhfTb6Yo,0
704818869072961536,2567361932,Kay Quirk #CruzCrew,3266,1999,Iowa,"RT @VickiGP1: 21 Questions For Donald Trump #NeverTrump #SuperTuesday 
#SECPrimary #VOAV #PJNET 
https://t.co/1t1xirhIdT",0
704818869085577217,16576797,Brandon M. Sergent,282,360,None,"@DreadPhil1 @pqpolitics ""Smart"" is an empty word. Did you mean informed? Then yes or else they'd be voting Sanders. https://t.co/ID0jmHx363",0
704818869202976768,242874600,Eileen,2016,2733,None,"RT @VirginiaInCal: @CNN @MSNBC @FoxNews #BillClinton is obstructing the voting polls in New Bedford , Massachcetts https://t.co/IbA0G5BBgP …",0
704818869521801216,4905645177,Jim K,1555,2393,None,RT @Cami_Benelli: @KingVantes @grey_ghost47 @realDonaldTrump @DiamondandSilk @scottienhughes You ROCK!!✋#Trump2016,0
704818869546852352,242618658,AppSame,1089149,204443,"Tampa, Fl,Washington DC","RT @GangsterActual: Republican system: Democracy in action
Democrat system: Ripe for graft/bribes
Go figure.
#Primary2016  https://t.co/acH…",0
704818869366435841,38739066,Bradley Burdette ☮,8491,8079,"Florida, USA","@TheDemocrats 
@DNCWomen  @DNCYouthCouncil @DNCLatinos 
Are U wanting a split-party
Really, gut the @CFPB ?
You are losing it
#FeelTheBern",0
704818869664243713,27676146,dean carlson,56,163,Chicago,@glennbeck @realDonaldTrump they're all Americans aren't they?,0
704818869911814144,68405620,Filip Horký,32876,3016,"Prague, Czech Republic","První dnešní předpovědi výsledků dle USnews TV:

🔴Hillary Clinton zvítězila ve Virginii a Georgii.
🔴Bernie Sanders uspěl “doma” ve Vermontu.",0
704818869274353668,701231539644985346,DJ,51,88,None,Not according to most polls. It's Rubio.  https://t.co/2PoneZ7lKE,0
704818869769211905,22211625,Regina Phalange,224,201,  Philadelphia ,I can't believe I live in a country where Donald Trump could possibly be president.,0
704818869383331840,26997491,richdoll,1192,1569,"danville,va",“Super Predator” Comment Creates Another Tense Moment For Hillary Clinton On The Trail https://t.co/y8H2txLji1 via @rubycramer @buzzfeednews,0
704818869790113792,4277624481,Lauren Ashley Howard,200,310,None,"RT @mmurraypolitics: NBC News projects Hillary Clinton wins GA and VA primaries

NBC News projects Bernie Sanders wins VT primary",0
704818867088941056,20616753,Red Dirt Report,38478,3621,"Oklahoma City, OK",@BernieSanders wins home state of #Vermont. https://t.co/qEtZRaNZAM,0
704818869840510977,27965474,Eric Kane 13News,1938,1249,"Norfolk, VA","#BREAKING: @HillaryClinton wins Virginia, George primaries and @BernieSanders takes his home state of Vermont. @ABC",0
704818867340767232,1976398656,Inyomation,1874,927,Gotham City,Hillary Clinton won Georgia and Virginia! https://t.co/Y9MHmUkx1H,0
704818868901027841,838855718,Blue Musky,4385,4365,None,Vote for #TedCruz on #SuperTuesday! - #SteveDeace breaks it down! #NeverTrump (video) ~&gt; https://t.co/wCT0e39ak9 https://t.co/hdUOzv81gd,0
704818870486306817,3404297363,Dee Porter,2037,2350,None,RT @C_Furman: #iVoted #FeeltheBern https://t.co/4wnpmX67Qc,0
704818870159212544,45156531,Voting Female,20055,20278,Phoenix Arizona,"Poll Closing Time Right On The Dot?

#SuperTuesday #nra #tcot #ccot #pjnet #p2  https://t.co/Rm6p6vjkS4",0
704818870658449409,470823192,Jordan Almand,163,459,None,RT @Ttu__2: The moment you realize Bernie Sanders has your vote 😂😂😙💨 (Vine by @hoodVine0) https://t.co/yWY1TH8W33,0
704818870264004608,180986738,sunny,1812,2022,None,"VOTER BEWARE CHECK YOUR VOTES! #MAGA #SECPrimary #SuperTuesday #AlwaysTrump #TeamTrump #TrumpTrain #Trump2016🚄💨💨💨
 https://t.co/LabASHmRDz",0
704818870759063552,2990556747,Andie DiCaprio,835,696,Villa Venado de Peñalosa,"RT @CNN: BREAKING: CNN projects @HillaryClinton wins Virginia &amp; Georgia, @BernieSanders wins Vermont https://t.co/GgxMgrIyS1 https://t.co/k…",0
704818871056900096,1193023740,Ken W. Gough,24,60,None,RT @glennbeck: 1st David Duke. Now Louis Farrakhan? Really? @realDonaldTrump u have some gr8 praise. A+ ppl https://t.co/Mlel6aChwK https:/…,0
704818870914125824,25617620,IG: Bkdcreation,384,1241,None,"Hillary-2, Bernie-1 so far",0
704818871455379456,3577954888,Kristen Albert,261,239,"Ashburn, VA",Hillary won VA,0
